,q_start,q_service_time,q_type,q_conf,action
0,1508821565.97,4.0,0.0,0.401779263229,1.0
1,1508821565.97,2.0,0.0,0.813425507424,2.0
2,1508821566.97,8.0,3.0,0.198234520198,0.0
3,1508821566.97,3.0,0.0,0.394568651672,1.0
4,1508821566.97,6.0,0.0,0.00500881868029,0.0
5,1508821566.97,5.0,0.0,0.461170002221,1.0
6,1508821567.98,2.0,2.0,0.949211394024,2.0
7,1508821567.98,5.0,1.0,0.395011177413,1.0
8,1508821567.98,6.0,5.0,0.250896792051,0.0
9,1508821567.98,4.0,4.0,0.408808304439,1.0
10,1508821769.11,4.0,3.0,0.552486310568,1.0
11,1508821769.11,1.0,3.0,0.832103038745,2.0
12,1508821769.11,3.0,6.0,0.442341612186,1.0
13,1508821770.11,2.0,6.0,0.832789457111,2.0
14,1508821770.12,7.0,1.0,0.301126685349,0.0
15,1508821770.12,8.0,0.0,0.16899726826,0.0
16,1508821770.12,7.0,1.0,0.0495064467584,0.0
17,1508821771.12,1.0,6.0,0.711486136304,2.0
18,1508821772.13,6.0,5.0,0.313006861013,0.0
19,1508821772.13,4.0,1.0,0.520735433276,1.0
20,1508821773.13,8.0,1.0,0.31115046771,0.0
21,1508821773.13,1.0,0.0,0.677658161516,2.0
22,1508821773.13,5.0,4.0,0.335729892226,1.0
23,1508821774.14,2.0,1.0,0.884601714094,2.0
24,1508821774.14,2.0,0.0,0.715313051698,2.0
25,1508821774.14,3.0,1.0,0.57225082989,1.0
26,1508821774.15,2.0,4.0,0.670606816841,2.0
27,1508821774.15,2.0,5.0,0.826083682558,2.0
28,1508821774.15,5.0,1.0,0.56780983484,1.0
29,1508821774.15,3.0,6.0,0.369865997542,1.0
30,1508821774.16,1.0,0.0,0.991588306579,2.0
31,1508821774.16,5.0,6.0,0.63039960859,1.0
32,1508821774.16,3.0,4.0,0.33984543102,1.0
33,1508821775.16,8.0,3.0,0.0573406721515,0.0
34,1508821776.17,6.0,5.0,0.303966347757,0.0
35,1508821777.17,2.0,0.0,0.818424085466,2.0
36,1508821778.18,5.0,0.0,0.533518869774,1.0
37,1508821778.18,7.0,6.0,0.128697729496,0.0
38,1508821779.18,2.0,5.0,0.765984489859,2.0
39,1508821779.18,4.0,5.0,0.444644113288,1.0
40,1508821780.19,3.0,5.0,0.640733823909,1.0
41,1508821780.19,1.0,4.0,0.738168785367,2.0
42,1508821781.2,5.0,2.0,0.634309006303,1.0
43,1508821781.2,4.0,3.0,0.597107249938,1.0
44,1508821781.21,6.0,5.0,0.0616247369433,0.0
45,1508821782.21,8.0,3.0,0.193067620553,0.0
46,1508821783.22,8.0,6.0,0.0899318543129,0.0
47,1508821783.22,1.0,3.0,0.968251901738,2.0
48,1508821784.22,1.0,1.0,0.871203620979,2.0
49,1508821784.23,4.0,1.0,0.543797095135,1.0
50,1508821784.23,5.0,4.0,0.427919115145,1.0
51,1508821784.23,2.0,2.0,0.864757286819,2.0
52,1508821784.23,1.0,4.0,0.783604490938,2.0
53,1508821785.23,8.0,4.0,0.124661559191,0.0
54,1508821786.24,6.0,1.0,0.296889270157,0.0
55,1508821787.24,8.0,5.0,0.291342305032,0.0
56,1508821788.24,2.0,6.0,0.694595806959,2.0
57,1508821788.24,1.0,2.0,0.814904826354,2.0
58,1508821788.25,4.0,2.0,0.368746578899,1.0
59,1508821789.25,5.0,4.0,0.583673957298,1.0
60,1508821790.25,1.0,0.0,0.71637660854,2.0
61,1508821790.25,6.0,6.0,0.0314680540675,0.0
62,1508821791.26,2.0,3.0,0.872878844062,2.0
63,1508821792.26,1.0,6.0,0.795226297934,2.0
64,1508821792.26,6.0,1.0,0.265169118123,0.0
65,1508821792.26,7.0,3.0,0.305378738095,0.0
66,1508821792.26,1.0,6.0,0.692857488255,2.0
67,1508821793.26,7.0,0.0,0.0698373027827,0.0
68,1508821793.26,7.0,4.0,0.305945585995,0.0
69,1508821793.27,1.0,2.0,0.886238210747,2.0
70,1508821793.27,7.0,0.0,0.234192235756,0.0
71,1508821794.27,1.0,0.0,0.714622487996,2.0
72,1508821795.27,1.0,2.0,0.791963053292,2.0
73,1508821796.27,4.0,2.0,0.474983792263,1.0
74,1508821797.28,6.0,0.0,0.0109804457653,0.0
75,1508821798.28,1.0,0.0,0.753259631472,2.0
76,1508821799.28,6.0,6.0,0.237808300858,0.0
77,1508821799.28,7.0,6.0,0.102101947577,0.0
78,1508821800.29,2.0,2.0,0.813304408751,2.0
79,1508821800.29,4.0,5.0,0.632888267095,1.0
80,1508821800.29,6.0,0.0,0.299304508829,0.0
81,1508821801.29,3.0,2.0,0.534636352513,1.0
82,1508821802.3,2.0,3.0,0.879860149781,2.0
83,1508821803.3,4.0,3.0,0.408298101999,1.0
84,1508821804.3,6.0,0.0,0.144274850583,0.0
85,1508821804.31,6.0,3.0,0.327550318285,0.0
86,1508821805.31,5.0,3.0,0.611791069592,1.0
87,1508821805.32,2.0,0.0,0.801683785633,2.0
88,1508821805.32,2.0,2.0,0.89224926093,2.0
89,1508821806.33,2.0,0.0,0.908931666556,2.0
90,1508821806.33,8.0,6.0,0.000407627545821,0.0
91,1508821807.34,6.0,6.0,0.118420401361,0.0
92,1508821808.34,7.0,3.0,0.0928655362951,0.0
93,1508821809.34,5.0,4.0,0.592844999517,1.0
94,1508821810.35,4.0,0.0,0.492093943657,1.0
95,1508821810.35,4.0,1.0,0.56910662676,1.0
96,1508821811.35,2.0,2.0,0.770281369528,2.0
